question|answer
How can you treat pain, redness, or swelling from venous stasis dermatitis?|To treat pain, redness, or swelling from venous statis dermatitis, your doctor may give you a steroid or other medicine to rub on your ankles and legs. An antihistamine pill or cream might help if your legs are itchy. You might need to wrap the area with a medicated dressing to help it heal. If you have an infection, your doctor will prescribe an antibiotic pill or cream.
When is eczema commonly found?|In addition, eczema is commonly found in families with a history of other allergies or asthma. Also, defects in the skin barrier could allow moisture out and germs in.
How can you prevent eczema outbreaks?|Eczema outbreaks can sometimes be avoided or the severity lessened by following these simple tips: - Moisturize frequently. - Avoid sudden changes in temperature or humidity. - Avoid sweating or overheating. - Reduce stress.
How does stress reduction treat severe eczema?|If you’re not at ease talking with a therapist, there are other ways to ease your stress. Hypnosis, guided imagery, and meditation have all been shown to help ease eczema symptoms. You can also try biofeedback. During a treatment session, sensors attached to your body will measure your heart rate, muscle tension, and brain waves. Once you learn what it feels like when your body is upset or stressed, you can get used to calming yourself down.
How can eczema develop?|Eczema can happen anywhere on your body. Babies and children are more likely to have it on their faces. It can look different from person to person. Some people get rough, leathery skin, while others have red or brownish-gray patches or small raised bumps on parts of their body. Swelling, oozing, and crusting are other signs -- but the most common symptom of eczema is itchy skin.
What are some gentle bathing tips for eczema skin?|Another way to stop your skin from drying out is to take shorter showers -- 10 to 15 minutes maximum. Keep the water warm, not hot. Skip the soap and instead use gentle scent and dye-free cleansing products. Emollient soap substitutes and bath oils clean as well as soap and are less irritating. Wash your skin gently. Don't scrub. When you step out of the shower or bath, pat your skin dry with a soft towel.
Can food cause eczema flare-ups in children?|Up to one in three kids with eczema has a food allergy that could make symptoms worse. If you remove some choices, it could make a difference.
How can I tell if a blister is infected?|Sometimes the blisters can get infected, especially if you scratch them a lot. Signs that you have an infection include: - Pain - Swelling - Crusting  Pus in the blisters
How does acne happen due to puberty?|To understand acne, you need to know how your skin works. The pores in your skin contain oil glands. When you hit puberty, there's an increase in sex hormones called androgens. The excess hormones cause your oil glands to become overactive, enlarge, and produce too much oil, or sebum. When there's too much sebum, the pores or hair follicles become blocked with skin cells. The increase in oil also results in an overgrowth of bacteria called Propionibacterium acnes.
Can hormonal changes cause acne in teens?|Hormonal changes related to birth control pills, menstrual periods, and pregnancy can trigger acne. Other external acne triggers include heavy face creams and cosmetics, hair dyes, and greasy hair ointment -- all of which can increase blockage of pores.
How are retinoids used to treat acne?|Topical retinoids can help clear up moderate-to-severe acne by making your skin grow and shed in a healthy way.
How can salicylic acid treat acne?|Salicylic acid helps prevent the shedding of skin cells and unclog pores. It must be used continuously because its effects stop when you stop using it -- pores clog up again and the acne returns.
When should I call my doctor about acne?|Whether you have a few pimples or more serious acne, talk to your primary health care provider about treatments. Treating acne early is the key to avoiding permanent scarring.
Can birth control be used to treat acne?|Because acne is linked to hormones, some oral contraceptives (birth control pills) may help. But not all birth control pills stop acne, and some make it worse.
What are some side effects of acne treatments?|Topical retinoids and benzoyl peroxide can make your skin red, dry, and sensitive to sunlight. Oral antibiotics may make your skin sensitive to sunlight and cause stomach upset. Taking antibiotics for more than a few weeks may make women more likely to have yeast infections.
What causes acne?|The cause isn’t fully understood. Stress can aggravate acne, but it doesn’t cause it. These are factors: Hormones. Common acne in teenagers starts with an increase in hormone production. Bacteria. Excess sebum, or oil, clogs the openings to hair follicles, and bacteria grow. This makes blackheads or whiteheads form on the skin's surface. Sometimes, the clogging causes the follicle wall to break, and sebum leaks into nearby tissues and forms a pustule or a papule. This is inflammatory acne. Some oral contraceptives may trigger acne in some women but suppress it in others. Some injectable contraceptives and IUDs may also cause acne. Steroids that some bodybuilders and other athletes take can also lead to severe outbreaks.
What are the forms of acne?|Acne lesions include whiteheads, blackheads, small bumps, and nodules and cysts.
Can hormone therapy help acne?|Hormone therapy may be helpful for some women with acne, especially for those with signs and symptoms (irregular periods, thinning hair) of androgen (male hormone) excess. The hormone therapy consists of low-dose estrogen and progesterone (birth control pills) or anti-androgen medications (spironolactone).
What can make acne worse?|Though acne is essentially a normal physiologic occurrence, certain conditions may aggravate the condition, including: Fluctuating hormone levels around the time of menses (women); Manipulating (picking/prodding) acne lesions; Clothing (for example, hats and sports helmets) and headgear
What is acne and how severe can it be?|Most people develop acne -- the most common skin condition -- to some degree, but it primarily affects teenagers undergoing hormonal changes. Acne may be mild (few, occasional pimples), moderate (inflammatory papules), or severe (nodules and cysts). Treatment depends on the severity of the condition.
How common is acne in teens?|If there's one thing you can count on as a teen, it's acne. More than 85% of teenagers have this common skin problem, which is marked by clogged pores (whiteheads, blackheads), painful pimples, and, sometimes, hard, deep lumps on the face, neck, shoulders, chest, back, shoulders, and upper arms.
Does stress cause acne?|Some studies link stress with the severity of pimples or acne. Ask yourself what's making you feel stressed. Then look for solutions. When in doubt, check with a dermatologist to see if you need more treatment to prevent or stop acne.
How can keeping your face clean help prevent acne?|Whether or not you have acne, it's important to wash your face twice daily to remove impurities, dead skin cells, and extra oil from your skin's surface. Washing more often than twice daily is not necessarily better; it may do more harm than good. Use warm, not hot, water and a mild facial cleanser. Using a harsh soap (like deodorant body soap) can hurt already inflamed skin and cause more irritation.
Does necrobiosis lipoidica diabeticorum need to be treated?|Treatment for necrobiosis lipoidica diabeticorum is not necessary as long as the sores do not break open. If the sores do break open, see your doctor for medical treatment.
Can you take medication for prediabetes?|Some people do need medication for prediabetes. But you still need to get your lifestyle as healthy as posssible, including what you eat and how active you are. Your doctor may prescribe metformin if you have certain risk factors, such as low levels of HDL ("good") cholesterol, high triglycerides (a type of blood fat), a parent or sibling with diabetes, or are overweight. If you take metformin, you'll need to follow up with your doctor.  Take action now, and ask for extra help from your doctor, a nutritionist, or personal trainer if you need it.
How is depression treated?|Counseling, lifestyle changes, and possibly also medication can help. Ask your doctor about all of the options, and you can work together on a treatment plan.
What is the A1c test for type 2 diabetes?|It's an average of your blood glucose over the past two or three months.
Who can take exenatide (Bydureon, Byetta)?|Adults with type 2 diabetes for whom other treatment hasn't worked can take exenatide. If you think you might get pregnant, talk to your doctor. Researchers haven't studied this drug in pregnant women.
What is a low blood sugar level?|What's considered a low sugar level varies widely. Many people's glucose won't ever fall below 60, even with prolonged fasting. When you diet or fast, the liver keeps your levels normal by turning fat and muscle into sugar. A few people's levels may fall somewhat lower.
How many carbs should I have if I have diabetes?|One carbohydrate serving equals 15 grams of carbohydrates. A registered dietitian can help you figure out a carbohydrate counting plan that meets your specific needs. For adults, a typical plan includes two to four carb servings at each meal, and one to two as snacks.
What is diabetes insipidus?|Diabetes insipidus is a condition that causes your body to make a lot of urine. You also get extra thirsty. As a result, you urinate frequently.
Why does diabetes make me urinate more often?|Normally your body reabsorbs glucose as it passes through your kidneys, but when diabetes raises your blood sugar, your kidneys may not be able to bring it all back in. This causes the body to make more urine. Because you're urinating so much, you can get thirsty. When you drink more, you'll also urinate more.
What are complications of gastroparesis?|Food that stays in your stomach too long because of gastroparesis can spoil and lead to the growth of bacteria. Undigested food can harden and form a lump called a bezoar. It can block your stomach and keep what you eat from moving into the small intestine. Gastroparesis can make it hard to control diabetes. When food finally leaves your stomach and enters the small intestine, your blood sugar goes up, too. Throwing up can also leave you dehydrated.
How is severe anemia treated?|If your anemia is severe, you may need a blood transfusion.
What are symptoms of endocrine disorder?|The symptoms of an endocrine disorder vary widely and depend on the specific gland involved. However, most people with endocrine disease complain of fatigue and weakness.
What are good and bad blood sugar levels?|Numbers on the meter aren't "good" or "bad" -- they're just numbers. They give you information about how to keep your child healthy. Since you or your child might not notice symptoms, testing is the best way to avoid dangerously high and low levels.
How does the body use ketosis?|If you're healthy and eating a balanced diet, your body controls how much fat it burns, and you don't normally make or use ketones. But when you cut back on your calories or carbs, your body will switch to ketosis for energy. It can also happen after exercising for a long time and during pregnancy. For people with uncontrolled diabetes, ketosis is a sign of not using enough insulin.
How is gastroparesis diagnosed?|To determine whether or not you have gastroparesis, your doctor will ask about your symptoms. He'll also do a physical exam, and he may check your blood sugar. He might also suggest other tests.
What is an A1c test for type 2 diabetes?|An A1c test is a blood test that estimates average glucose levels in your blood over the previous three months. Periodic A1c testing may be advised to see how well diet, exercise, and medications are working to control blood sugar and prevent organ damage. The A1c test is typically done a few times a year.

